City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,sidi ali,36.0998,0.4206,8.35,78,0,3.44,DZ,1675646298
257,asahikawa,43.7678,142.3703,-3.03,93,75,3.6,JP,1675646299
258,dhidhdhoo,6.8833,73.1,26.9,73,88,1.22,MV,1675646300
259,lasa,46.6166,10.7002,-2.21,92,49,2.69,IT,1675646211
260,vanimo,-2.6741,141.3028,26.16,86,100,0.54,PG,1675646307
261,bambanglipuro,-7.95,110.2833,27.0,76,87,0.96,ID,1675646309
262,palaia fokaia,37.72,23.9463,3.81,65,99,12.94,GR,1675646310
263,porto santo,33.072,-16.3415,15.21,67,20,4.63,PT,1675646311
264,san policarpo,12.1791,125.5072,26.8,84,100,5.86,PH,1675646312
265,gornopravdinsk,60.05,69.9,-18.25,99,100,0.65,RU,1675646314
266,bayji,34.9311,43.487,11.21,55,100,6.09,IQ,1675646315
267,sola,-13.8833,167.55,27.25,79,100,6.35,VU,1675646269
268,guerrero negro,27.9769,-114.0611,16.1,77,96,8.43,MX,1675646319
269,sisimiut,66.9395,-53.6735,-18.39,93,100,2.53,GL,1675646193
270,san francisco menendez,13.8431,-90.0158,23.63,64,0,2.01,SV,1675646320
271,beringovskiy,63.05,179.3167,-27.36,92,93,5.16,RU,1675646311
272,guerrero,17.6667,-100.0,19.82,54,0,2.22,MX,1675646321
273,pisco,-13.7,-76.2167,24.03,83,0,5.14,PE,1675646144
274,nabire,-3.3667,135.4833,27.88,77,100,1.32,ID,1675646323
275,auki,-8.7676,160.7034,24.54,94,100,3.79,SB,1675646324
276,taitung,22.7583,121.1444,25.15,78,20,0.51,TW,1675646328
277,dungarpur,23.8333,73.7167,17.83,31,0,1.1,IN,1675646330
278,general roca,-39.0333,-67.5833,33.3,11,0,7.03,AR,1675646331
279,kousseri,12.0769,15.0306,24.08,16,59,4.04,CM,1675646334
280,darhan,49.4867,105.9228,-21.99,97,100,1.53,MN,1675646335
281,bogotol,56.2078,89.5342,-21.28,99,30,2.67,RU,1675646336
282,sitrah,26.1547,50.6206,17.75,80,0,1.03,BH,1675646337
283,alofi,-19.0595,-169.9187,23.94,94,100,8.75,NU,1675646196
284,muli,2.9167,73.5667,27.19,78,100,3.04,MV,1675646338
285,sioux lookout,50.1001,-91.917,-17.71,98,97,1.47,CA,1675646159
286,nsoko,-27.0333,31.95,21.28,88,81,1.89,SZ,1675646340
287,hammond,41.5834,-87.5,2.3,76,0,3.09,US,1675646165
288,jacareacanga,-6.2222,-57.7528,23.0,98,100,0.71,BR,1675646203
289,pringsewu,-5.3582,104.9744,25.46,67,100,0.42,ID,1675646342
290,saint john,45.2727,-66.0677,0.91,84,100,4.45,CA,1675645648
291,zhob,31.3411,69.4481,7.97,58,0,0.74,PK,1675646344
292,marawi,7.9986,124.2928,24.7,66,45,1.03,PH,1675646215
293,college,64.8569,-147.8028,-13.84,81,40,2.57,US,1675646150
294,coos bay,43.3665,-124.2179,8.85,87,100,6.17,US,1675646093
295,susanville,40.4163,-120.653,3.91,74,0,4.12,US,1675646349
296,pampa,35.5362,-100.9599,13.53,46,0,5.14,US,1675646294
